pageid,title,wikibase_item,biography
57019404,Damian Irvine,Q51754521,TRUE
56558977,Emma Isaacs,Q49560260,TRUE
52793839,Kayla Itsines,Q28137116,TRUE
59998600,John James (administrator),Q61788908,TRUE
55915495,Arthur William Jarrett,Q44181287,TRUE
56950605,Ellis Stanley Joseph,Q51754405,TRUE
73722328,Michael Kent (businessman),Q118521492,TRUE
68238774,Phillip Kingston,Q107694783,TRUE
68583664,Sammy Lunn,Q66606909,TRUE
50330554,Nigel McBride,Q24053498,TRUE
63000876,James McWhirter,Q84195996,TRUE
56531908,Matthew Miles,Q48472704,TRUE
64270506,Devon Minchin,Q75798492,TRUE
59487322,John Henry Monger Snr,Q60198011,TRUE
53829698,Michael Nixon,Q29534107,TRUE
58856094,Alan Noble (entrepreneur),Q60734523,TRUE
49736909,Noyes Brothers,Q23073768,FALSE
57142254,Jim Penman,Q52004973,TRUE
59711794,Pickwick Book Club,Q60773840,FALSE
66610931,Emmanuel Clive Pohl,Q105414153,TRUE
69968178,Charlie Price (cricketer),Q111170450,TRUE
66232139,Fred Rae,Q104553072,TRUE
50607935,Albert Rains (cricketer),Q24845757,TRUE
2647930,Ravi Ratnayeke,Q3531815,TRUE
53936061,Sheree Rubinstein,Q29834839,TRUE
35611891,Rymill brothers,Q7385198,FALSE
54083055,Charlie Sadadeen,Q30070999,TRUE
51702829,Steve Sammartino,Q56513177,TRUE
52690118,Nicola Scaife,Q28086268,TRUE
72266152,Sean Senvirtne,Q115237319,TRUE
54933424,Kate Mary Smith,Q37999477,TRUE
49850643,William James Stewart (businessman),Q23618399,TRUE
39723151,Karl Suleman,Q26220507,TRUE
41390162,Sypkes family,Q17040446,FALSE
61873516,Doug Warbrick,Q81573603,TRUE
4606572,WD Scott,Q7948679,FALSE
66241842,Ron Wise,Q104602904,TRUE
54776817,Rod Wylie,Q35497915,TRUE
45512903,Butcher Joe Nangan,Q28223924,TRUE
57631835,Rochelle Adonis,Q55080988,TRUE
70082806,Durkhanai Ayubi,Q111417304,TRUE
50335800,Martin Benn,Q24053508,TRUE
65248829,Lennox Hastie,Q98961524,TRUE
67419886,Dan Hong,Q64764669,TRUE
53835491,Dan Hunter (chef),Q29513609,TRUE
70733272,Buddha Lo,Q112749170,TRUE
44404945,Rinrin Marinka,Q17410688,TRUE
52079812,Lauren Murdoch,Q27663537,TRUE
27699879,Gurinderjit Singh,Q21010238,TRUE
613975,Cobb & Co,Q5138782,FALSE
26243326,W. J. Frecklington,Q16212807,TRUE
49575544,H. A. Frost,Q23073583,TRUE
57149940,Howard Porter (manufacturer),Q60785154,FALSE
38138348,TJ Richards & Sons,Q7670519,FALSE
52906607,Robert Merlini,Q28395778,TRUE
70127271,Gordon De Lisle,Q110016858,TRUE
29504909,Allan Johnston (advertiser),Q4730728,TRUE
29509345,Alan Morris (advertiser),Q4707370,TRUE
60307569,John Woodforde,Q62390131,TRUE
3862671,Electron (computer hacker),Q5358141,TRUE
3268506,Nahshon Even-Chaim,Q6959405,TRUE
57798476,Manase Fainu,Q55314937,TRUE
47258780,Nigel Milsom,Q20671405,TRUE
60323670,Neil Erikson,Q62398465,TRUE
52966875,Rita Panahi,Q28507963,TRUE
41223000,Agent-General for New South Wales,Q105417875,FALSE
50270039,Dennis Argall,Q24006193,TRUE
26190200,Patrick Bitature,Q7146120,TRUE
70192554,Bruce Lendon,Q111038444,TRUE
49360201,Norman Mighell,Q21538174,TRUE
51889816,Robert H. Nesbitt,Q27178436,TRUE
61852503,John Tilemann,Q68224481,TRUE
52570369,Leyla Acaroglu,Q23670651,TRUE
54111445,Charles Clifton Brittlebank,Q21506500,TRUE
33511300,Peter Crawley (headmaster),Q43381113,TRUE
51292343,Patience Hawker,Q26254437,TRUE
51920768,Claudia Leach,Q27178700,TRUE
66574447,William Thomas Martin,Q105273289,TRUE
67112505,Henry Neville Montagu,Q105977724,TRUE
10910573,David Solomon (writer),Q26678435,TRUE
70488356,David Thomatis,Q111518598,TRUE
62857813,Catherine Hay Thomson,Q83100566,TRUE
73663245,Suzy Urbaniak,Q117913077,TRUE
53720753,Jean Armstrong,Q29326287,TRUE
50137594,Arthur Bell (engineer),Q23806513,TRUE
1269265,Keith Bullock,Q47813367,TRUE
57073485,Guillermo Capati,Q51754885,TRUE
29961412,Abraham Fitzgibbon,Q16857607,TRUE
36548548,William Hanson (engineer),Q8010837,TRUE
59231712,Richard G. Hartley,Q59389861,TRUE
64264904,Hannah Joyce,Q39903551,TRUE
56183086,Ivan Marusic,Q51081501,TRUE
67242728,Henry Edgar Morton,Q106254712,TRUE
63500993,Francis Punch,Q88880419,TRUE
62127078,Hieu Trinh,Q71937013,TRUE
72791853,Issi Dye,Q116258160,TRUE
55860456,James Japanma,Q43525049,TRUE
50950272,Edwin S. Berry,Q25185009,TRUE
55319521,Ernest Gustav Brandon-Cremer,Q42411116,TRUE
69856292,Horace Edgar Buckridge,Q110652968,TRUE
64137393,Cowits,Q95975013,TRUE
57267117,Dick Barkinji,Q55609538,TRUE
53551338,William Finke,Q29021411,TRUE
2418973,William Goldwyer,Q13518823,TRUE
2419079,James Harding (explorer),Q6135538,TRUE
716949,Leyland brothers,Q6538078,FALSE
50966691,John Graham MacDonald,Q25323626,TRUE
57267186,Alexander MacPherson (explorer),Q55603590,TRUE
53407140,Richard Maurice (explorer),Q28924357,TRUE
55469452,New Guinea Exploration Expedition (1885),Q48789717,FALSE
62289917,Ben Nicker,Q74097248,TRUE
12852904,Sarah Jane Pell,Q7422437,TRUE
52623848,Augustus Poeppel,Q28030769,TRUE
55883577,Charles Winnecke,Q43644654,TRUE
57810048,Thomas William Ah Chow,Q55635780,TRUE
12893000,"Rupert Byron, 11th Baron Byron",Q7380260,TRUE
51931101,Frank Cowcher,Q27178586,TRUE
52855809,William Ferguson (pioneer),Q28314523,TRUE
58785428,W. H. Gray,Q59130357,TRUE
52901994,Jack Heitman,Q28377861,TRUE
72643651,Hermann Rieck,Q116245587,TRUE
50921677,Ernest Locke,Q24845235,TRUE
52774680,Charles Maley,Q28124119,TRUE
41903027,Leonard McGrath,Q16073046,TRUE
52711208,William Patrick Jr.,Q28065959,TRUE
52707804,Hugh Roche,Q28063738,TRUE
51704882,Ewart Runciman,Q26998246,TRUE
65266387,Leslie Arthur Schubert,Q99395415,TRUE
52707965,Sydney Thompson (politician),Q28066187,TRUE
49753570,Roderick Travers,Q23619923,TRUE
55585648,Frederick Wurm,Q42411123,TRUE
3277299,Herbert Yelland,Q5735985,TRUE
42431489,John Cox (special effects artist),Q16193058,TRUE
47208992,Tony Birch,Q20676008,TRUE
68572161,Brent Clayton,Q110984063,TRUE
14313988,Jack Emanuel,Q16006986,TRUE
46273684,Chris Minns,Q19875673,TRUE
63035990,Shan Raffel,Q81362219,TRUE
64414807,Malcolm Florence,Q96746912,TRUE
71324960,Bill Hatfield,Q113380335,TRUE
64382526,Sam Sarin,Q96675030,TRUE
66504877,Edward Julius,Q105089708,TRUE
57396990,John La Gerche,Q55313502,TRUE
56952603,Victorian School of Forestry,Q51433000,FALSE
849886,Andrew Flintoff,Q95885,TRUE
1615425,Rob Riggle,Q1616538,TRUE
1993988,Kyle Sandilands,Q16213757,TRUE
72306931,Billy J. Smith,Q115316252,TRUE
73216177,George Keith Cowlishaw,Q116985333,TRUE
55767878,Hugh Linaker,Q42950674,TRUE
36555606,John Morrison (writer),Q6249527,TRUE
63161943,Andrew Wilkie (zoo director),Q86101349,TRUE
64568385,Gerry Atwell,Q97451323,TRUE
55720811,Denis McFadden,Q46118306,TRUE
55156240,Simeon Barnard,Q39087786,TRUE
66090581,A. V. Benson,Q104177778,TRUE
50961557,W. B. Carr,Q25221789,TRUE
57049587,S. R. Heseltine,Q51719721,TRUE
66271095,Arthur V. Kewney,Q104665634,TRUE
54410742,Robert Peel (doctor),Q39089620,TRUE
48445006,A. O. Whitington,Q21665108,TRUE
57687435,Thomas Francis Wigley,Q55366619,TRUE
37147577,Abraham Hopkins Davis,Q4668910,TRUE
67945179,John Percival Jennings,Q107366336,TRUE
71454510,Tom Wyatt,Q115826160,TRUE
55052272,Vic Hislop,Q38459566,TRUE
59522121,"P. C. ""Pete"" Pearson",Q60379207,TRUE
65459657,Martin St James,Q99754284,TRUE
67250979,James Hyndes Gillies,Q112874969,TRUE
71471649,Gordon S. Kino,Q58016743,TRUE
44613139,John Danks & Son,Q19874751,FALSE
61236050,Enoch Hughes,Q65706073,TRUE
25988356,May Brothers and Company,Q6796430,FALSE
55372885,Mellor Brothers,Q48784572,FALSE
72247670,Lisa Hespe,Q115220446,TRUE
72288694,Timothy McEvoy,Q115300044,TRUE
58573468,Paul Tottle,Q56752487,TRUE
57417963,Patricia Easterbrook Roberts,Q58324750,TRUE
62331605,Tim Blackwell (broadcaster),Q85847819,TRUE
48260515,Zinnia Kumar,Q21621755,TRUE
68340574,Tim McDonald (comedian),Q108009748,TRUE
13667016,Unity Resources Group,Q7893811,FALSE
51492752,William Henry Norman,Q26793349,TRUE
35259445,Disappearance of Revelle Balmain,Q5281273,TRUE
60525473,Jett Kenny,Q66685113,TRUE
47132712,Piper O'Neill,Q20744629,TRUE
65273177,Fariha Róisín,Q99195311,TRUE
69421613,Nathan Basha,Q109948705,TRUE
72888873,Georgina Temperley,Q116618827,TRUE
20700209,Credit and Investments Ombudsman,Q5183778,FALSE
20102483,Energy & Water Ombudsman,Q5376889,FALSE
26024067,Fair Work Ombudsman,Q4334561,FALSE
66502846,Megan Mitchell,Q105077556,TRUE
8655881,Superannuation Complaints Tribunal,Q7643004,FALSE
65969718,Rachel Ankeny,Q58450101,TRUE
58865499,Dirk Baltzly,Q57998101,TRUE
58752541,Simone Bignall,Q57339388,TRUE
58619612,Jonathan Crowe,Q56887996,TRUE
58865909,Garrett Cullity,Q57999302,TRUE
42372856,Penelope Deutscher,Q16734369,TRUE
25487313,Alan Donagan,Q4706524,TRUE
52269411,Michael Allen Fox,Q27899172,TRUE
